Series Name,Market Cap(0.1billion CNY)
1992 [YR1992],39.9395
1993 [YR1993],20.0595
1994 [YR1994],45.176
1995 [YR1995],33.2613
1996 [YR1996],171.117
1997 [YR1997],352.2693
1998 [YR1998],230.4493
1999 [YR1999],867.2723
2000 [YR2000],1080.5571
2001 [YR2001],942.869
2002 [YR2002],1262.8104
2003 [YR2003],1782.5772
2004 [YR2004],1430.4367
2005 [YR2005],1677.491
2006 [YR2006],39454.9654
2007 [YR2007],95210.4367
2008 [YR2008],37712.7856
2009 [YR2009],63937.0752
2010 [YR2010],60511.76
2011 [YR2011],58391.1667
2012 [YR2012],61927.3648
2013 [YR2013],55724.6077
2014 [YR2014],87839.7605
2015 [YR2015],83471.9174
2016 [YR2016],82819.7647
2017 [YR2017],102569.3482
2018 [YR2018],90824.6388
2019 [YR2019],113134.3003
2020 [YR2020],102834.0251
2021 [YR2021],99640.4083
